task,query_id,corpus_id,pident,evalue,bitscore
arch,A0B5C6,P65904,34.733,2.99e-44,147.0
arch,A0B5C6,Q6FZJ0,38.222,1.75e-41,140.0
arch,A0B5C6,Q4FLJ5,36.681,4.72e-40,136.0
arch,A0B5C6,Q72UH6,36.681,9.65e-39,133.0
arch,A0B5C6,Q5FNL1,34.783,2.17e-38,132.0
arch,A0B5C6,Q9PHZ7,36.123,5.38e-37,128.0
arch,A0B5C6,Q2J4N0,36.283,1.16e-35,125.0
arch,A0B5C6,Q9X0X2,32.296,1.23e-35,124.0
arch,A0B5C6,Q73MV2,35.146,6.16e-33,119.0
arch,A0B5C6,Q3Z9H5,33.577,6.75e-32,116.0
arch,A0B5C6,P58788,29.703,1.57e-05,42.7
arch,A0B5C6,Q0BPX1,31.25,4.15e-05,41.6
arch,A0B5C6,Q9K6Z4,36.207,6.45e-05,41.2
arch,A0B5C6,Q8ESS0,32.53,0.000205,39.3
arch,A0B5C6,Q7M9X0,35.065,0.00043,38.5
arch,A0B5C6,A7GMU8,30.508,0.000826,37.7
arch,A0B5C6,B5YF84,26.882,0.002,36.6
arch,A0B5C6,Q67KH8,36.207,0.002,36.6
arch,A0B5C6,A7GJS9,30.108,0.002,36.2
arch,A0B5C6,Q02003,51.282,0.002,36.2
arch,A0B5C6,Q9ZDF1,23.913,0.004,36.6
arch,A0B5C6,P59118,27.66,0.004,35.4
arch,A0B5C6,A0JXB5,34.737,0.005,35.4
arch,A0B5C6,Q02132,31.25,0.005,35.4
arch,A0B5C6,B7IH88,37.037,0.006,35.8
arch,A0B5C6,B3WED3,29.231,0.006,35.0
arch,A0B5C6,B8FP22,33.898,0.006,35.0
arch,A0B5C6,B8FZR4,25.263,0.006,35.0
arch,A0B5C6,Q3AD50,32.143,0.01,34.3
arch,A0B5C6,Q39YP4,27.586,0.011,34.3
arch,A0B5C6,B1KYX4,27.083,0.017,33.5
arch,A0B5C6,Q2J878,34.615,0.018,34.3
arch,A0B5C6,Q9PKL0,29.63,0.018,34.3
arch,A0B5C6,Q7VRS2,30.851,0.034,33.5
arch,A0B5C6,Q4FNT5,23.469,0.036,32.7
arch,A0B5C6,Q9CLJ5,25.263,0.037,32.7
arch,A0B5C6,Q5WX94,28.866,0.038,32.7
arch,A0B5C6,B9KH18,25.263,0.042,33.1
arch,A0B5C6,Q5WYE9,28.571,0.045,32.3
arch,A0B5C6,Q6ASN4,28.0,0.061,32.7
arch,A0B5C6,P16249,30.38,0.086,31.6
arch,A0B5C6,Q83GZ6,25.6,0.1,32.0
arch,A0B5C6,Q6A8L2,28.866,0.1,31.2
arch,A0B5C6,Q4JW55,26.582,0.11,31.6
arch,A0B5C6,Q7MPP4,30.909,0.15,30.8
arch,A0B5C6,Q31E66,33.333,0.22,30.4
arch,A0B5C6,Q5NMD4,30.508,0.23,30.4
arch,A0B5C6,A4G3R1,23.81,0.24,30.8
arch,A0B5C7,A8F8I3,37.65,3.59e-159,477.0
arch,A0B5C7,Q3ARU4,36.387,8.75e-151,457.0
arch,A0B5C7,Q8DIA7,37.387,4.9599999999999995e-146,444.0
arch,A0B5C7,Q5SMH8,37.052,3.21e-144,439.0
arch,A0B5C7,Q67KF8,38.599,1.2e-137,423.0
arch,A0B5C7,A8YW85,34.9,1.94e-136,419.0
arch,A0B5C7,Q7VF52,35.18,9.209999999999999e-134,412.0
arch,A0B5C7,Q83FE8,36.339,1.23e-133,412.0
arch,A0B5C7,O67691,37.535,4.0999999999999997e-131,405.0
arch,A0B5C7,A9BIH4,34.016,3.0100000000000004e-129,400.0
arch,A0B5C7,Q8UEB0,38.039,8.299999999999999e-128,397.0
arch,A0B5C7,Q4JXF0,38.865,1.13e-124,390.0
arch,A0B5C7,A5IRV6,34.814,5.2500000000000005e-123,384.0
arch,A0B5C7,A2BZA6,33.89,5.32e-121,380.0
arch,A0B5C7,Q9X0X3,32.021,2.7099999999999998e-74,251.0
arch,A0B5C7,P9WG70,32.639,7.64e-08,53.1
arch,A0B5C7,A2BZA6,22.754,0.000331,42.0
arch,A0B5C7,O67139,34.848,0.1,33.5
arch,A0B5C7,C1A6H2,24.46,0.65,31.2
arch,A0B5C7,A1VE87,24.272,0.84,30.8
arch,A0B5C7,Q57190,25.287,1.6,29.6
arch,A0B5C7,B2FT78,30.303,2.3,29.6
arch,A0B5C7,A1APP9,24.828,2.7,29.3
arch,A0B5C7,A5VIX0,34.483,3.0,29.3
arch,A0B5C7,B2RLG7,24.242,3.4,28.9
arch,A0B5C7,P57532,23.045,4.8,28.1
arch,A0B5C7,A8GPA1,34.286,5.4,28.5
arch,A0B5C7,O83639,37.209,5.9,28.1
arch,A0B5C7,P0DC99,24.074,6.5,28.1
arch,A0B5C7,Q6A5X8,24.615,6.8,28.1
arch,A0B5C7,P59621,26.984,7.1,27.7
arch,A0B5C7,B1HTV6,36.17,8.6,27.3
arch,A0B5E6,Q1AWA6,24.359,0.47,28.9
arch,A0B5E6,Q1IWA0,50.0,1.1,26.6
arch,A0B5E6,Q9Z990,27.5,1.6,27.3
arch,A0B5E6,Q8RGA2,21.951,3.1,26.2
arch,A0B5E6,Q9ADB2,29.787,8.3,25.0
arch,A0B5E6,A4XKZ4,33.333,8.4,25.0
arch,A0B5K3,A5IU68,47.826,7.77e-26,90.1
arch,A0B5K3,A1ATL2,43.478,4.3e-25,88.2
arch,A0B5K3,A7NR21,46.591,7.47e-25,87.8
arch,A0B5K3,B8D124,45.161,3.5399999999999995e-24,85.9
arch,A0B5K3,A1BI67,39.13,4.78e-23,83.2
arch,A0B5K3,A3DE86,41.379,8.52e-23,82.4
arch,A0B5K3,Q6AQK0,39.13,2.34e-22,81.3
arch,A0B5K3,A0AJK9,39.13,4.4400000000000004e-21,78.2
arch,A0B5K3,B5YEC9,43.678,8.94e-21,77.4
arch,A0B5K3,B2A5W6,40.217,4.85e-20,75.5
arch,A0B5K3,C1D0J7,41.935,5.14e-20,75.5
arch,A0B5K3,A9KJ25,36.957,5.9e-20,75.1
arch,A0B5K3,B2UMP5,37.5,8.9e-19,72.4
arch,A0B5K3,B1YM02,43.023,9.46e-19,72.0
arch,A0B5K3,A8ZSP9,36.957,3.93e-18,70.5
arch,A0B5K3,Q5FLL2,38.298,8.01e-18,70.1
arch,A0B5K3,A2BP33,36.957,8.21e-18,69.7
arch,A0B5K3,A0L5G1,36.957,9.4e-18,69.7
arch,A0B5K3,Q11R87,34.831,1.11e-17,69.3
arch,A0B5K3,B1ZQN2,33.333,1.56e-17,68.9
arch,A0B5K3,C0QKZ6,40.217,1.03e-16,67.0
arch,A0B5K3,A2RHP4,34.783,1.17e-16,67.0
arch,A0B5K3,B2V7T1,36.782,1.29e-16,66.6
arch,A0B5K3,A5FQ06,39.759,2.63e-16,65.9
arch,A0B5K3,A1UT21,37.079,7.81e-16,64.7
arch,A0B5K3,Q02A54,32.632,7.82e-16,64.7
arch,A0B5K3,Q67KJ1,36.264,9.32e-16,64.3
arch,A0B5K3,B2TIZ8,39.583,1.58e-15,63.9
arch,A0B5K3,Q3AMW9,36.957,2.02e-15,63.5
arch,A0B5K3,A5IKG9,39.535,2.86e-15,63.2
arch,A0B5K3,Q4FLQ6,31.522,3.43e-15,63.2
arch,A0B5K3,B1N064,34.783,6.07e-15,62.8
arch,A0B5K3,Q8G767,37.079,7.09e-15,62.4
arch,A0B5K3,Q2S325,38.043,3.82e-14,60.5
arch,A0B5K3,A9WPN1,32.955,1.24e-13,59.3
arch,A0B5K3,Q31F52,35.227,1.85e-13,58.5
arch,A0B5K3,Q1GUW4,36.957,3.53e-13,58.2
arch,A0B5K3,Q5FND2,37.079,5.29e-13,57.4
arch,A0B5K3,Q88XP8,34.021,6.89e-13,57.4
arch,A0B5K3,A8ERD0,27.778,8.44e-13,57.0
arch,A0B5K3,C3PFU9,33.696,3.21e-12,55.5
arch,A0B5K3,B1MDU9,34.737,4.27e-12,55.5
arch,A0B5K3,B8DRD8,43.077,4.57e-12,55.1
arch,A0B5K3,Q30R53,29.545,3.61e-11,52.8
arch,A0B5K3,B9KFJ8,29.63,4.11e-11,52.8
arch,A0B5K3,B4UIV2,38.298,5.45e-11,52.4
arch,A0B5K3,Q8R678,32.609,1.03e-10,51.6
arch,A0B5K3,A0KBI0,25.0,1.79e-10,51.2
arch,A0B5K3,B3CQR0,28.283,3.27e-10,50.4
arch,A0B5K3,A6Q7I8,26.966,3.49e-10,50.1
arch,A0B5U4,B2S3R1,32.969,1.97e-87,276.0
arch,A0B5U4,Q7UEU9,30.745,4.82e-86,275.0
arch,A0B5U4,B1AJD3,34.188,7.27e-60,204.0
arch,A0B5U4,Q6MNT9,35.097,7.06e-59,201.0
arch,A0B5U4,Q8G7W9,34.648,4.4400000000000003e-57,197.0
arch,A0B5U4,P75425,34.412,1.0599999999999999e-52,184.0
arch,A0B5U4,Q8KAB1,32.609,7.29e-51,180.0
arch,A0B5U4,P56206,32.123,1.94e-44,163.0
arch,A0B5U4,Q8KAB1,43.243,4.29e-33,130.0
arch,A0B5U4,Q8G7W9,45.455,4.17e-31,124.0
arch,A0B5U4,P75425,41.538,2.73e-29,119.0
arch,A0B5U4,B1AJD3,42.143,1.18e-28,117.0
arch,A0B5U4,P56206,40.789,4.2e-27,113.0
arch,A0B5U4,Q6MNT9,42.361,5.97e-27,112.0
arch,A0B5U4,B0SDM9,25.263,5.79e-06,47.0
arch,A0B5U4,C0ZF57,25.373,3.02e-05,44.7
arch,A0B5U4,Q1AWG4,35.065,3.47e-05,44.7
arch,A0B5U4,Q73KJ8,23.622,5.92e-05,43.9
arch,A0B5U4,Q83GR4,23.256,8.23e-05,43.5
arch,A0B5U4,A9B562,23.077,8.95e-05,43.1
arch,A0B5U4,Q0RBM4,34.884,0.000101,43.1
arch,A0B5U4,B1VAN9,30.38,0.000127,42.7
arch,A0B5U4,A9BGA8,25.833,0.000378,41.2
arch,A0B5U4,A9BGA8,23.383,0.000398,41.2
arch,A0B5U4,P36431,30.159,0.000404,41.2
arch,A0B5U4,C0QY98,22.917,0.000444,41.2
arch,A0B5U4,Q5LUD3,22.069,0.000556,40.4
arch,A0B5U4,B2S2A7,24.479,0.000879,40.0
arch,A0B5U4,A5CX68,48.837,0.001,39.3
arch,A0B5U4,B2V6M2,28.814,0.002,39.3
arch,A0B5U4,A4X5V6,27.778,0.002,39.3
arch,A0B5U4,P59554,35.0,0.002,38.9
arch,A0B5U4,Q2GK70,44.186,0.002,38.5
arch,A0B5U4,Q9RUW4,26.966,0.003,38.5
arch,A0B5U4,Q4A5S0,27.451,0.005,37.7
arch,A0B5U4,C1F9K5,34.921,0.006,37.7
arch,A0B5U4,B2V6M2,26.667,0.006,37.4
arch,A0B5U4,B2URV1,30.508,0.007,37.4
arch,A0B5U4,C0ZF57,31.667,0.008,37.0
arch,A0B5U4,B0RZJ0,34.375,0.008,37.0
arch,A0B5U4,A0LHQ7,33.333,0.009,37.0
arch,A0B5U4,Q73KJ8,32.203,0.01,36.6
arch,A0B5U4,B5Y8J7,33.333,0.01,36.6
arch,A0B5U4,A5CX68,20.455,0.012,36.6
arch,A0B5U4,A4VXT8,25.0,0.015,36.2
arch,A0B5U4,B2S475,35.821,0.02,35.8
arch,A0B5U4,Q1LSM8,29.268,0.024,35.4
arch,A0B5U4,B2KCB2,23.333,0.029,35.0
arch,A0B5U4,B2URV1,35.0,0.034,35.0
arch,A0B5U4,Q89AN7,31.169,0.034,35.0
arch,A0B6K7,B5YH80,28.829,1.6299999999999997e-23,92.4
arch,A0B6K7,A5FRZ6,32.461,4.38e-23,91.3
arch,A0B6K7,A2RJD1,30.374,1.23e-22,90.1
arch,A0B6K7,O66440,31.658,3.1e-19,80.9
arch,A0B6K7,A9KDC5,25.926,1.98e-18,79.0
arch,A0B6K7,A1KUQ1,31.064,4.54e-18,78.6
arch,A0B6K7,Q186A6,28.708,4.7e-18,78.6
arch,A0B6K7,P36923,28.07,6.41e-17,75.1
arch,A0B6K7,Q6AIT8,31.606,6.84e-17,74.7
arch,A0B6K7,Q5WKM9,26.961,1.37e-16,74.3
arch,A0B6K7,Q6GII7,26.108,2.79e-16,73.2
arch,A0B6K7,A8MJ87,29.515,3.63e-16,73.2
arch,A0B6K7,A2RF79,26.108,5.41e-16,72.4
arch,A0B6K7,A0LLU8,30.942,8.35e-16,72.0
arch,A0B6K7,A4IPP2,27.234,2.86e-15,70.9
arch,A0B6K7,B9DJG9,27.014,7.06e-15,69.3
arch,A0B6K7,Q4L4R1,26.54,5.9e-14,67.0
arch,A0B6K7,P35146,27.273,1.78e-13,65.9
arch,A0B6K7,Q38X91,28.643,6.61e-13,63.9
arch,A0B6K7,Q88SD8,25.366,2.07e-11,60.1
arch,A0B6K7,Q21VV5,29.143,3.23e-11,59.3
arch,A0B6K7,Q04HC7,26.531,0.88,28.5
arch,A0B6K7,C0QRW6,32.143,1.8,27.3
arch,A0B6K7,Q8ELL1,30.769,3.4,26.2
arch,A0B6K7,Q01NI9,35.714,4.0,26.2
arch,A0B6K7,P54472,36.585,4.1,26.6
arch,A0B6K7,Q3ABS1,32.0,5.2,25.8
arch,A0B6K7,B0U2T8,28.916,7.0,25.8
arch,A0B6K7,A1VXQ2,31.481,7.9,25.4
arch,A0B6K7,P9WPJ1,39.394,9.6,25.4
arch,A0B6X8,A1VAN1,49.63,1.29e-43,138.0
arch,A0B6X8,Q8R5U7,44.118,7.65e-40,129.0
arch,A0B6X8,Q2LUY2,44.03,1.87e-39,127.0
arch,A0B6X8,B5YAK0,43.284,9.87e-38,123.0
arch,A0B6X8,A7I1P3,39.231,1.35e-33,112.0
arch,A0B6X8,O25896,39.098,1.22e-30,105.0
arch,A0B6X8,B9JL06,35.772,2.87e-23,87.0
arch,A0B6X8,Q6N0K6,35.659,8.35e-23,85.9
arch,A0B6X8,B1J9R7,35.484,1.63e-20,79.7
arch,A0B6X8,Q3K3S9,22.535,0.21,28.9
arch,A0B6X8,Q98PH7,27.5,3.3,25.8
arch,A0B6X8,Q609I3,41.176,4.2,25.4
arch,A0B6X8,Q7UNR3,47.619,5.4,25.0
arch,A0B6X8,O83553,28.571,6.8,24.6
arch,A0B748,Q1AXX5,43.529,2.35e-37,126.0
arch,A0B748,A9GHU4,44.03,1.49e-28,103.0
arch,A0B748,B1YKS8,42.308,1.51e-28,103.0
arch,A0B748,A0Q7F1,33.533,6.2900000000000006e-27,99.0
arch,A0B748,A0LH27,41.045,9.910000000000001e-27,98.2
arch,A0B748,Q9KWS8,40.909,1.1300000000000001e-26,99.0
arch,A0B748,B3QTT2,36.667,1.35e-25,95.9
arch,A0B748,Q31HA8,34.247,1.62e-23,90.1
arch,A0B748,Q8GH80,33.133,2.3499999999999997e-23,89.7
arch,A0B748,C0QX60,28.351,3.3999999999999995e-23,89.4
arch,A0B748,A5EYG2,35.0,3.5e-23,89.0
arch,A0B748,Q3MG83,33.987,4.63e-23,90.1
arch,A0B748,Q87BS7,38.562,7.09e-23,87.8
arch,A0B748,Q1QSW9,35.556,1.04e-22,88.6
arch,A0B748,Q3J7D7,34.783,5.53e-22,86.7
arch,A0B748,Q8DJB3,29.688,5.9e-22,87.4
arch,A0B748,Q6MB27,34.228,7.58e-22,86.3
arch,A0B748,P95333,32.663,1.5900000000000002e-21,86.3
arch,A0B748,Q3AF09,34.756,1.8000000000000003e-21,84.7
arch,A0B748,Q74H60,34.328,3.2500000000000003e-21,84.3
arch,A0B748,B8FGS4,35.821,3.83e-21,84.3
arch,A0B748,Q93R28,37.838,3.89e-21,84.0
arch,A0B748,Q5HNW5,30.769,1.16e-20,83.2
arch,A0B748,A9KKU1,32.609,1.45e-20,83.2
arch,A0B748,A9KG91,34.783,2.28e-20,82.0
arch,A0B748,Q7NDP1,33.333,3.06e-20,81.6
arch,A0B748,Q38W92,34.706,3.57e-20,81.6
arch,A0B748,Q03WI1,35.075,9.4e-20,80.1
arch,A0B748,Q5ZTY2,35.811,2.67e-19,79.3
arch,A0B748,A7H485,36.601,3.34e-19,78.6
arch,A0B748,B4F059,34.395,4.22e-19,79.0
arch,A0B748,A6QBG1,32.857,4.35e-19,78.2
arch,A0B748,Q8RB69,34.646,4.64e-19,78.6
arch,A0B748,Q0AIY2,33.696,5.16e-19,78.6
arch,A0B748,A2BZB9,33.083,5.8e-19,79.3
arch,A0B748,A8EWT7,37.037,1.06e-18,77.4
arch,A0B748,A1WX32,33.333,2.13e-18,77.8
arch,A0B748,Q182F1,36.691,2.86e-18,76.6
arch,A0B748,A8MG50,32.022,3.22e-18,76.3
arch,A0B748,Q2JVR0,29.412,4.19e-18,77.0
arch,A0B748,P28609,30.22,4.56e-18,75.9
arch,A0B748,Q049W5,33.548,4.69e-18,76.3
arch,A0B748,Q70WY9,33.548,6.75e-18,75.5
arch,A0B748,Q7VIE2,33.516,7.41e-18,75.1
arch,A0B748,A8F851,32.353,1.17e-17,74.3
arch,A0B748,Q1CV45,33.562,2.19e-17,73.9
arch,A0B748,Q6A661,36.434,2.78e-17,74.3
arch,A0B748,O66745,31.293,2.95e-17,73.6
arch,A0B748,Q492C7,29.487,3.16e-17,73.6
arch,A0B748,Q72DW7,30.625,4.15e-17,73.2
arch,A0B796,A2BYM8,31.953,3.16e-15,69.3
arch,A0B796,B7IF45,29.016,2.78e-14,67.0
arch,A0B796,Q0KA30,32.911,2.68e-13,64.7
arch,A0B796,Q8RDX3,31.25,4.81e-13,63.5
arch,A0B796,Q31PW0,30.058,3.69e-12,61.2
arch,A0B796,B2GC51,33.974,9.05e-12,60.5
arch,A0B796,C5D8U9,30.38,1.64e-11,60.1
arch,A0B796,A5UX01,30.303,1.73e-11,59.7
arch,A0B796,Q9Z9S0,27.429,1.63e-10,57.0
arch,A0B796,Q0AEI5,28.736,1.77e-10,56.6
arch,A0B796,Q485F4,27.404,3.2e-10,55.8
arch,A0B796,Q3MDN0,31.013,3.64e-10,55.8
arch,A0B796,Q18BC9,31.169,3.76e-10,55.8
arch,A0B796,B8I7T9,30.481,5.12e-10,55.5
arch,A0B796,A8EVA1,28.662,6.07e-10,54.7
arch,A0B796,Q6MLA0,28.302,6.89e-10,55.1
arch,A0B796,Q4FT93,26.087,1.05e-09,55.1
arch,A0B796,A0LV66,31.013,1.23e-09,54.7
arch,A0B796,Q73MG1,29.193,1.37e-09,53.9
arch,A0B796,A8MHC7,28.708,1.93e-09,53.5
arch,A0B796,B9DPH3,26.875,2.03e-09,53.9
arch,A0B796,B0JV09,32.903,2.08e-09,53.5
arch,A0B796,A7HQZ3,34.194,7.28e-09,52.4
arch,A0B796,B1MZ17,28.302,1.01e-08,52.0
arch,A0B796,A5D1I3,32.237,1.24e-08,51.6
arch,A0B796,Q8EQZ4,28.571,2.11e-08,50.8
arch,A0B796,Q5SLU5,31.098,2.13e-08,50.4
arch,A0B796,Q0AWX1,28.289,2.15e-08,50.8
arch,A0B796,Q7U4C6,30.464,2.25e-08,50.8
arch,A0B796,Q11KH2,30.921,2.34e-08,50.8
arch,A0B796,Q5PBG2,30.189,2.65e-08,50.4
arch,A0B796,B0B9D6,27.044,2.96e-08,50.1
arch,A0B796,Q2SRV0,26.797,3.32e-08,50.1
arch,A0B796,Q3AC76,31.41,4.39e-08,50.1
arch,A0B796,Q4FPF7,24.859,4.77e-08,49.3
arch,A0B796,A9KLL7,26.437,5.09e-08,49.7
arch,A0B796,B5RKU7,26.238,5.16e-08,49.3
arch,A0B796,B2V752,30.263,7.39e-08,48.9
arch,A0B796,Q5H1F4,31.677,7.44e-08,49.3
arch,A0B796,A9B6H3,29.375,1.09e-07,48.5
arch,A0B796,A5CDI4,28.75,1.24e-07,48.1
arch,A0B796,P56121,29.245,1.73e-07,48.1
arch,A0B796,B4SAK8,29.936,1.77e-07,47.8
arch,A0B796,Q2JW45,29.221,1.88e-07,48.1
arch,A0B796,B9EBC6,24.528,2.04e-07,48.1
arch,A0B796,Q51832,27.841,2.18e-07,47.8
arch,A0B796,Q2GD69,29.193,2.79e-07,47.4
arch,A0B796,Q11R91,24.855,3.74e-07,47.0
arch,A0B796,Q2S009,28.75,4.46e-07,46.6
arch,A0B796,Q8FP63,27.389,4.74e-07,47.0
arch,A0B7J8,A0QJI1,36.538,0.000276,39.3
arch,A0B7J8,P76329,23.282,0.000846,37.7
arch,A0B7J8,Q9CHW3,31.481,0.007,34.7
arch,A0B7J8,P0AGB0,33.962,0.009,34.7
arch,A0B7J8,C0QRP9,21.673,0.016,33.5
arch,A0B7J8,B4U6B2,26.23,0.036,32.3
arch,A0B7J8,O33010,28.421,0.039,32.7
arch,A0B7J8,Q21YU0,36.538,0.055,32.0
arch,A0B7J8,Q5QXU4,33.333,0.072,31.6
arch,A0B7J8,A7H590,28.986,0.075,31.6
arch,A0B7J8,Q5SH23,28.283,0.34,29.6
arch,A0B7J8,Q9Z6T7,31.429,1.3,27.7
arch,A0B7J8,Q9EYY5,38.235,1.3,27.7
arch,A0B7J8,Q2RPW9,32.432,1.5,27.7
arch,A0B7J8,Q2Y6G2,37.838,1.8,27.3
arch,A0B7J8,Q2RL66,31.818,2.0,27.3
arch,A0B7J8,Q65GN4,33.333,2.5,26.9
arch,A0B7J8,B0RVC5,27.451,4.6,25.8
arch,A0B7J8,Q3ZA71,28.302,4.9,26.2
arch,A0B7J8,Q0AYL3,29.851,5.0,26.2
arch,A0B7J8,B0SGD3,36.17,6.1,26.2
arch,A0B7J8,Q54975,36.364,6.2,25.8
arch,A0B7J8,P73002,30.172,6.9,25.8
arch,A0B7J8,O33512,41.379,6.9,25.4
arch,A0B7J8,Q7NF32,32.075,7.2,25.8
arch,A0B7J8,B1GZD3,37.037,9.1,25.4
arch,A0B7J8,A1W0N0,26.761,9.4,25.4
arch,A0B7J8,A9ERU2,27.941,9.7,25.0
arch,A0B7V0,O87016,36.22,1.16e-37,132.0
arch,A0B7V0,Q0AGX7,37.6,2.2e-36,128.0
arch,A0B7V0,Q7MBB9,34.694,1.4300000000000002e-35,127.0
arch,A0B7V0,Q9Z9J0,31.923,7.310000000000001e-35,124.0
arch,A0B7V0,A0Q6C2,29.388,7.98e-34,121.0
